,compoundA,compoundB,success
229,1300,0.69,TRUE
230,700,0.79,FALSE
231,1300,0.44,FALSE
232,900,0.23,FALSE
233,700,0.17,FALSE
234,900,0.79,FALSE
235,1300,0.22,FALSE
236,1300,0.23,FALSE
237,1400,0.59,TRUE
238,1300,0.67,FALSE
239,900,0.73,FALSE
240,700,0.17,FALSE
241,1100,0.32,FALSE
242,700,0.18,FALSE
243,1300,0.49,TRUE
244,400,0.52,FALSE
245,1300,0.22,FALSE
246,1000,0.19,FALSE
247,1000,0.41,FALSE
248,700,0.17,FALSE
249,1300,0.35,FALSE
250,700,0.18,FALSE
251,1000,0.22,FALSE
252,1000,0.3,FALSE
253,900,0.51,FALSE
254,900,0.48,FALSE
255,1300,0.24,FALSE
256,1100,0.45,FALSE
257,1300,0.5,FALSE
258,1000,0.2,FALSE
259,900,0.23,FALSE
260,700,0.17,FALSE
261,700,0.17,FALSE
262,1400,0.33,FALSE
263,900,0.65,FALSE
264,900,0.31,FALSE
265,700,0.17,FALSE
266,600,0.71,FALSE
267,900,0.33,FALSE
268,900,0.66,FALSE
269,1000,0.25,FALSE
270,1000,0.19,FALSE
271,800,0.17,FALSE
272,1000,0.48,FALSE
273,1000,0.23,FALSE
274,900,0.25,FALSE
275,1300,0.24,FALSE
276,1300,0.67,FALSE
277,900,0.27,FALSE
278,900,0.45,FALSE
279,400,0.17,FALSE
280,900,0.31,FALSE
281,1300,0.38,FALSE
282,1000,0.2,FALSE
283,1000,0.21,FALSE
284,1300,0.55,FALSE
285,1300,0.5,FALSE
286,700,0.17,FALSE
287,1000,0.75,FALSE
288,700,0.18,FALSE
289,1000,0.18,FALSE
290,1400,0.46,FALSE
291,1200,0.21,FALSE
292,900,0.83,FALSE
293,600,0.58,FALSE
294,1000,0.21,FALSE
295,1300,0.74,FALSE
296,700,0.3,FALSE
297,700,0.17,FALSE
298,900,0.76,FALSE
299,1000,0.67,FALSE
300,1300,0.38,TRUE
301,900,0.6,TRUE
302,900,0.6,FALSE
303,1100,0.69,FALSE
304,1000,0.57,TRUE
305,900,0.41,FALSE
306,400,0.7,FALSE
307,900,0.68,FALSE
308,1000,0.22,FALSE
309,1000,0.21,FALSE
310,800,0.17,FALSE
311,900,0.3,FALSE
312,700,0.47,FALSE
313,700,0.18,FALSE
314,1000,0.4,FALSE
315,1300,0.51,FALSE
316,800,0.17,FALSE
317,1400,0.64,FALSE
318,1000,0.21,FALSE
319,900,0.31,FALSE
320,1200,0.26,FALSE
321,1300,0.22,FALSE
322,1500,0.65,FALSE
323,900,0.76,FALSE
324,900,0.19,FALSE
325,1000,0.21,FALSE
326,600,0.17,FALSE
327,1300,0.67,FALSE
328,1000,0.64,FALSE
329,900,0.25,FALSE
330,900,0.66,FALSE
331,1400,0.7,FALSE
332,900,0.42,FALSE
333,900,0.52,FALSE
334,1600,0.58,FALSE
335,900,0.69,FALSE
336,1000,0.21,FALSE
337,900,0.7,FALSE
338,800,0.18,FALSE
339,700,0.18,FALSE
340,700,0.18,FALSE
341,1000,0.19,FALSE
342,1300,0.51,FALSE
343,1100,0.63,FALSE
344,1100,0.61,FALSE
345,1300,0.32,FALSE
346,600,0.17,FALSE
347,1000,0.19,FALSE
348,900,0.36,FALSE
349,900,0.64,FALSE
350,900,0.33,FALSE
351,1400,0.59,TRUE
352,900,0.18,FALSE
353,1400,0.6,FALSE
354,600,0.17,FALSE
355,1000,0.23,FALSE
356,1000,0.76,FALSE
357,1000,0.51,TRUE
358,600,0.17,FALSE
359,1200,0.26,FALSE
360,600,0.57,FALSE
361,1300,0.23,FALSE
362,600,0.57,FALSE
363,1400,0.37,TRUE
364,900,0.18,FALSE
365,700,0.18,FALSE
366,1000,0.2,FALSE
367,1300,0.46,FALSE
368,1000,0.36,FALSE
369,900,0.2,FALSE
370,900,0.27,FALSE
371,1300,0.22,FALSE
372,500,0.17,FALSE
373,1300,0.55,FALSE
374,700,0.65,FALSE
375,900,0.55,FALSE
376,1000,0.46,FALSE
377,1000,0.21,FALSE
378,1000,0.77,FALSE
379,900,0.69,FALSE
380,900,0.69,FALSE
381,900,0.64,FALSE
382,1000,0.19,FALSE
383,700,0.18,FALSE
384,1300,0.66,FALSE
385,1000,0.18,FALSE
386,700,0.67,TRUE
387,500,0.17,FALSE
388,1000,0.23,FALSE
389,1500,0.64,FALSE
390,1000,0.19,FALSE
391,1100,0.49,TRUE
392,1200,0.21,FALSE
393,800,0.19,FALSE
394,700,0.18,FALSE
395,700,0.17,FALSE
396,1000,0.21,FALSE
397,900,0.18,FALSE
398,1300,0.22,FALSE
399,900,0.71,FALSE
400,1000,0.74,FALSE
401,1000,0.25,FALSE
402,1000,0.21,FALSE
403,500,0.53,FALSE
404,1300,0.27,FALSE
405,500,0.73,FALSE
406,900,0.47,FALSE
407,700,0.17,FALSE
408,1000,0.22,FALSE
409,1300,0.3,FALSE
410,700,0.17,FALSE
411,900,0.56,FALSE
412,800,0.18,FALSE
413,700,0.19,FALSE
414,1000,0.22,FALSE
415,1300,0.22,FALSE
416,900,0.68,FALSE
417,1000,0.23,FALSE
418,1200,0.34,FALSE
419,400,0.64,FALSE
420,1400,0.74,FALSE
421,1000,0.21,FALSE
422,1300,0.33,FALSE
423,1300,0.26,FALSE
424,1000,0.19,FALSE
425,1000,0.22,FALSE
426,1000,0.21,FALSE
427,1000,0.19,FALSE
428,700,0.19,FALSE
429,900,0.25,FALSE
430,1000,0.21,FALSE
431,400,0.55,FALSE
432,100,0.68,FALSE
433,1000,0.19,FALSE
434,1000,0.2,FALSE
435,900,0.18,FALSE
436,900,0.37,FALSE
437,700,0.18,FALSE
438,900,0.38,FALSE
439,1500,0.65,TRUE
440,900,0.58,FALSE
441,1100,0.22,FALSE
442,1000,0.21,FALSE
443,1000,0.29,FALSE
444,1000,0.3,FALSE
445,900,0.67,FALSE
446,1000,0.19,FALSE
447,1000,0.2,FALSE
448,1300,0.23,FALSE
449,1000,0.22,FALSE
450,400,0.68,FALSE
451,900,0.23,FALSE
452,1000,0.2,FALSE
453,1300,0.24,FALSE
454,700,0.18,FALSE
455,1000,0.21,FALSE
456,1000,0.21,FALSE
457,900,0.66,FALSE
458,400,0.63,FALSE
459,700,0.54,FALSE
460,1000,0.43,FALSE
461,1300,0.41,FALSE
462,900,0.29,FALSE
463,1300,0.25,FALSE
464,1300,0.67,FALSE
465,1000,0.21,FALSE
466,1000,0.19,FALSE
467,1300,0.23,FALSE
468,1400,0.8,FALSE
469,900,0.53,FALSE
470,700,0.2,FALSE
471,1300,0.77,FALSE
472,1000,0.19,FALSE
473,1200,0.34,FALSE
474,200,0.44,FALSE
475,1000,0.68,FALSE
476,600,0.17,FALSE
477,1000,0.21,FALSE
478,900,0.22,FALSE
479,700,0.17,FALSE
480,700,0.17,FALSE
481,1000,0.68,FALSE
482,900,0.38,FALSE
483,300,0.32,FALSE
484,1000,0.18,FALSE
485,1400,0.33,TRUE
486,600,0.64,FALSE
487,600,0.17,FALSE
488,900,0.77,FALSE
489,400,0.73,FALSE
490,600,0.69,FALSE
491,900,0.67,FALSE
492,1000,0.22,FALSE
493,1000,0.22,FALSE
494,1000,0.23,FALSE
495,900,0.2,FALSE
496,1400,0.62,FALSE
497,1200,0.21,FALSE
498,1000,0.27,FALSE
499,1000,0.19,FALSE
500,900,0.64,FALSE
501,1300,0.63,FALSE
502,1000,0.62,FALSE
503,900,0.2,FALSE
504,900,0.32,FALSE
505,700,0.17,FALSE
506,1000,0.2,FALSE
507,1000,0.2,FALSE
508,1000,0.55,FALSE
509,1000,0.2,FALSE
510,900,0.32,FALSE
511,900,0.2,FALSE
512,900,0.39,FALSE
513,1300,0.29,FALSE
514,400,0.71,FALSE
515,900,0.18,FALSE
516,1000,0.2,FALSE
517,1000,0.73,FALSE
518,1300,0.74,FALSE
519,1000,0.21,FALSE
520,900,0.19,FALSE
521,1400,0.6,FALSE
522,1300,0.23,FALSE
523,1000,0.2,FALSE
524,1000,0.23,FALSE
525,600,0.17,FALSE
526,1400,0.26,FALSE
527,1000,0.23,FALSE
528,700,0.17,FALSE
529,1000,0.22,FALSE
530,600,0.17,FALSE
531,1200,0.21,FALSE
532,700,0.17,FALSE
533,1400,0.76,FALSE
534,1000,0.19,FALSE
535,1000,0.18,FALSE
536,600,0.73,FALSE
537,1300,0.9,FALSE
538,900,0.18,FALSE
539,700,0.18,FALSE
540,900,0.65,FALSE
541,1300,0.22,FALSE
542,400,0.71,FALSE
543,1400,0.6,FALSE
544,1300,0.26,FALSE
545,1000,0.18,FALSE
546,1500,0.55,FALSE
547,1000,0.3,FALSE
548,600,0.18,FALSE
549,600,0.17,FALSE
550,1000,0.33,FALSE
551,1100,0.64,FALSE
552,1000,0.63,FALSE
553,1000,0.19,FALSE
554,400,0.66,FALSE
555,400,0.84,FALSE
556,1000,0.68,FALSE
557,700,0.18,FALSE
558,1000,0.65,FALSE
559,700,0.18,FALSE
560,700,0.17,FALSE
561,1000,0.2,FALSE
562,700,0.17,FALSE
563,1000,0.21,FALSE
564,400,0.57,FALSE
565,700,0.18,FALSE
566,900,0.59,FALSE
567,900,0.65,FALSE
568,600,0.18,FALSE
569,1400,0.23,FALSE
570,1000,0.21,FALSE
571,800,0.18,FALSE
572,1000,0.21,FALSE
573,600,0.23,FALSE
574,1100,0.33,FALSE
575,900,0.74,FALSE
576,1000,0.2,FALSE
577,400,0.34,FALSE
578,500,0.17,FALSE
579,100,0.71,FALSE
580,1100,0.41,FALSE
581,1400,0.45,FALSE
582,1000,0.63,FALSE
583,1000,0.21,FALSE
584,600,0.54,FALSE
585,900,0.66,FALSE
586,800,0.42,FALSE
587,1300,0.22,FALSE
588,1000,0.21,FALSE
589,700,0.17,FALSE
590,600,0.17,FALSE
591,1000,0.57,FALSE
592,1000,0.47,FALSE
593,900,0.66,FALSE
594,1300,0.46,FALSE
595,1000,0.23,FALSE
596,900,0.37,FALSE
597,900,0.19,FALSE
598,400,0.69,FALSE
599,900,0.56,FALSE
600,400,0.73,FALSE
601,600,0.17,FALSE
602,1300,0.57,FALSE
603,1400,0.48,TRUE
604,1000,0.51,FALSE
605,400,0.45,FALSE
606,1000,0.2,FALSE
607,1000,0.21,FALSE
608,900,0.55,FALSE
609,1000,0.19,FALSE
610,1000,0.19,FALSE
611,1000,0.21,FALSE
612,1000,0.55,FALSE
613,1000,0.39,FALSE
614,1400,0.32,FALSE
615,700,0.18,FALSE
616,900,0.41,FALSE
617,1000,0.9,FALSE
618,800,0.2,FALSE
619,900,0.18,FALSE
620,600,0.17,FALSE
621,900,0.18,FALSE
622,1000,0.67,FALSE
623,800,0.18,FALSE
624,900,0.66,FALSE
625,900,0.21,FALSE
626,1300,0.22,FALSE
627,400,0.76,FALSE
628,1000,0.2,FALSE
629,1000,0.2,FALSE
630,500,0.27,FALSE
631,1000,0.21,FALSE
632,1100,0.54,FALSE
633,700,0.18,FALSE
634,1000,0.38,FALSE
635,900,0.68,FALSE
636,900,0.58,FALSE
637,1300,0.57,TRUE
638,1400,0.41,TRUE
639,1000,0.19,FALSE
640,1000,0.2,FALSE
641,1100,0.33,FALSE
642,900,0.19,FALSE
643,1000,0.21,FALSE
644,900,0.25,FALSE
645,900,0.48,FALSE
646,1000,0.22,FALSE
647,900,0.5,FALSE
648,1000,0.21,FALSE
649,1000,0.2,FALSE
650,1000,0.21,FALSE
651,600,0.17,FALSE
652,1000,0.46,FALSE
653,900,0.72,FALSE
654,700,0.17,FALSE
655,600,0.17,FALSE
656,1000,0.23,FALSE
657,600,0.17,FALSE
658,1000,0.19,FALSE
659,600,0.17,FALSE
660,1000,0.33,FALSE
661,1000,0.18,FALSE
662,1100,0.45,FALSE
663,400,0.81,FALSE
664,1000,0.19,FALSE
665,900,0.49,FALSE
666,1000,0.2,FALSE
667,1300,0.46,TRUE
668,1000,0.19,FALSE
669,1000,0.64,FALSE
670,600,0.17,FALSE
671,1300,0.24,FALSE
672,1000,0.2,FALSE
673,1000,0.36,FALSE
674,1000,0.2,FALSE
675,300,0.75,FALSE
676,500,0.77,FALSE
677,900,0.69,FALSE
678,800,0.41,FALSE
679,900,0.68,TRUE
680,400,0.62,FALSE
681,700,0.18,FALSE
682,1300,0.22,FALSE
683,1400,0.59,FALSE
684,900,0.68,FALSE
685,1000,0.18,FALSE
686,900,0.65,FALSE
687,1000,0.22,FALSE
688,1000,0.22,FALSE
689,1300,0.38,FALSE
690,1300,0.41,FALSE
691,1000,0.2,FALSE
692,1000,0.22,FALSE
693,900,0.3,FALSE
694,900,0.66,FALSE
695,1300,0.65,FALSE
696,1000,0.2,FALSE
697,1100,0.48,FALSE
698,700,0.78,FALSE
699,1000,0.19,FALSE
700,1000,0.22,FALSE
701,1000,0.22,FALSE
702,600,0.17,FALSE
703,1000,0.19,FALSE
704,1500,0.72,FALSE
705,700,0.17,FALSE
706,1000,0.2,FALSE
707,400,0.45,FALSE
708,1000,0.75,FALSE
709,900,0.18,FALSE
710,800,0.74,FALSE
711,1000,0.21,FALSE
712,600,0.18,FALSE
713,1000,0.22,FALSE
714,900,0.28,FALSE
715,1000,0.21,FALSE
716,900,0.21,FALSE
717,1400,0.69,FALSE
718,1000,0.19,FALSE
719,1000,0.73,FALSE
720,600,0.66,FALSE
721,1000,0.2,FALSE
722,300,0.66,FALSE
723,600,0.17,FALSE
724,900,0.39,FALSE
725,1000,0.21,FALSE
726,500,0.17,FALSE
727,600,0.17,FALSE
728,1000,0.21,FALSE
729,1300,0.41,FALSE
730,900,0.63,FALSE
731,1100,0.22,FALSE
732,900,0.19,FALSE
733,1300,0.27,FALSE
734,900,0.82,FALSE
735,1000,0.18,FALSE
736,1300,0.44,FALSE
737,900,0.31,FALSE
738,700,0.17,FALSE
739,700,0.17,FALSE
740,900,0.64,FALSE
741,700,0.17,FALSE
742,1400,0.72,FALSE
743,600,0.76,FALSE
744,900,0.37,FALSE
745,900,0.78,FALSE
746,700,0.17,FALSE
747,900,0.19,FALSE
748,700,0.18,FALSE
749,900,0.4,FALSE
750,1300,0.73,FALSE
751,1000,0.38,FALSE
752,1000,0.58,FALSE
753,1000,0.23,FALSE
754,900,0.9,FALSE
755,800,0.18,FALSE
756,400,0.76,FALSE
757,900,0.26,FALSE
758,1000,0.76,FALSE
759,1000,0.55,FALSE
760,1000,0.6,FALSE
761,900,0.69,FALSE
762,1000,0.24,FALSE
763,700,0.25,FALSE
764,1000,0.63,FALSE
765,900,0.78,FALSE
766,1000,0.21,FALSE
767,1000,0.41,FALSE
768,1000,0.18,FALSE
769,1000,0.24,FALSE
770,1000,0.42,FALSE
771,900,0.7,FALSE
772,1000,0.44,FALSE
773,600,0.72,FALSE
774,1000,0.34,FALSE
775,1200,0.22,FALSE
776,700,0.63,FALSE
777,1300,0.67,FALSE
778,1000,0.19,FALSE
779,1000,0.21,FALSE
780,900,0.37,FALSE
781,700,0.18,FALSE
782,1300,0.22,FALSE
783,600,0.17,FALSE
784,600,0.39,FALSE
785,600,0.17,FALSE
786,800,0.18,FALSE
787,1400,0.43,FALSE
788,900,0.21,FALSE
789,700,0.36,FALSE
790,1000,0.64,FALSE
791,1000,0.22,FALSE
792,1000,0.26,FALSE
793,1100,0.21,FALSE
794,700,0.17,FALSE
795,900,0.42,FALSE
796,1000,0.18,FALSE
797,1300,0.23,FALSE
798,600,0.17,FALSE
799,800,0.18,FALSE
800,1000,0.19,FALSE
801,700,0.17,FALSE
802,700,0.18,FALSE
803,900,0.34,FALSE
804,1000,0.19,FALSE
805,900,0.74,FALSE
806,1300,0.74,FALSE
807,600,0.17,FALSE
808,1000,0.36,FALSE
809,900,0.23,FALSE
810,700,0.18,FALSE
811,900,0.68,FALSE
812,900,0.61,FALSE
813,1300,0.66,FALSE
814,1000,0.83,FALSE
815,1000,0.2,FALSE
816,700,0.18,FALSE
817,700,0.17,FALSE
818,1000,0.21,FALSE
819,700,0.18,FALSE
820,400,0.73,FALSE
821,1000,0.34,TRUE
822,800,0.17,FALSE
823,1300,0.7,FALSE
824,1000,0.43,FALSE
825,900,0.73,FALSE
826,900,0.18,FALSE
827,600,0.17,FALSE
828,500,0.24,FALSE
829,600,0.17,FALSE
830,700,0.17,FALSE
831,1000,0.39,FALSE
832,700,0.17,FALSE
833,1000,0.9,FALSE
834,900,0.18,FALSE
835,1000,0.2,FALSE
836,1000,0.23,FALSE
837,1000,0.22,FALSE
838,900,0.5,FALSE
839,1000,0.2,FALSE
840,800,0.17,FALSE
841,800,0.18,FALSE
842,700,0.17,FALSE
843,700,0.17,FALSE
844,800,0.17,FALSE
845,700,0.17,FALSE
846,700,0.18,FALSE
847,1000,0.19,FALSE
848,100,0.39,FALSE
849,600,0.17,FALSE
850,1000,0.22,FALSE
851,1000,0.19,FALSE
852,1200,0.23,FALSE
853,700,0.17,FALSE
854,1000,0.64,FALSE
855,1000,0.2,FALSE
856,1000,0.19,FALSE
857,1000,0.2,FALSE
858,900,0.69,FALSE
859,1000,0.7,FALSE
860,600,0.17,FALSE
861,1000,0.33,FALSE
862,1300,0.26,FALSE
863,600,0.17,FALSE
864,700,0.19,FALSE
865,1000,0.22,FALSE
866,1000,0.21,FALSE
867,900,0.62,FALSE
868,1000,0.21,FALSE
869,600,0.17,FALSE
870,700,0.17,FALSE
871,900,0.72,FALSE
872,1000,0.19,FALSE
873,900,0.46,TRUE
874,1500,0.71,FALSE
875,700,0.17,FALSE
876,600,0.67,FALSE
877,1200,0.23,FALSE
878,800,0.18,FALSE
879,1000,0.2,FALSE
880,1000,0.51,FALSE
881,900,0.18,FALSE
882,1000,0.2,FALSE
883,700,0.18,FALSE
884,800,0.18,FALSE
885,400,0.67,FALSE
886,1000,0.18,FALSE
887,1500,0.27,FALSE
888,700,0.17,FALSE
889,1000,0.64,FALSE
890,400,0.67,FALSE
891,1000,0.21,FALSE
892,700,0.18,FALSE
893,600,0.17,FALSE
894,700,0.18,FALSE
895,1000,0.19,FALSE
896,700,0.18,FALSE
897,700,0.17,FALSE
898,900,0.5,FALSE
899,700,0.18,FALSE
900,900,0.4,FALSE
901,1000,0.59,FALSE
902,600,0.18,FALSE
903,1300,0.23,FALSE
904,1000,0.2,FALSE
905,900,0.74,FALSE
906,800,0.77,FALSE
907,1000,0.19,FALSE
908,200,0.64,FALSE
909,1300,0.23,FALSE
910,900,0.19,FALSE
911,1000,0.2,FALSE
912,1200,0.37,FALSE
913,1000,0.22,FALSE
914,1100,0.52,FALSE
915,700,0.17,FALSE
916,700,0.17,FALSE
917,900,0.66,FALSE
918,1300,0.76,TRUE
919,900,0.32,FALSE
920,1000,0.21,FALSE
921,1500,0.48,FALSE
922,500,0.76,FALSE
923,1000,0.31,FALSE
924,1300,0.57,FALSE
925,1200,0.29,FALSE
926,900,0.76,FALSE
927,1300,0.5,FALSE
928,1400,0.24,FALSE
929,900,0.84,FALSE
930,500,0.71,FALSE
931,700,0.18,FALSE
932,1100,0.84,FALSE
933,800,0.18,FALSE
934,900,0.47,FALSE
935,400,0.72,FALSE
936,1300,0.34,FALSE
937,900,0.74,FALSE
938,900,0.52,FALSE
939,700,0.17,FALSE
940,600,0.17,FALSE
941,1000,0.24,FALSE
942,900,0.3,FALSE
943,1000,0.23,FALSE
944,900,0.19,FALSE
945,1000,0.2,FALSE
946,1000,0.69,FALSE
947,600,0.17,FALSE
948,1000,0.19,FALSE
949,1300,0.77,FALSE
950,1000,0.2,FALSE
951,1000,0.19,FALSE
952,700,0.17,FALSE
953,1000,0.2,FALSE
954,900,0.65,FALSE
955,1300,0.71,FALSE
956,900,0.19,FALSE
957,1000,0.3,FALSE
958,1400,0.57,FALSE
959,900,0.45,FALSE
960,1000,0.28,FALSE
961,1000,0.43,FALSE
962,1000,0.21,FALSE
963,900,0.74,FALSE
964,600,0.17,FALSE
965,1000,0.19,FALSE
966,1000,0.2,FALSE
967,1000,0.2,FALSE
968,700,0.17,FALSE
969,1300,0.23,FALSE
970,700,0.17,FALSE
971,1400,0.45,FALSE
972,1300,0.28,FALSE
973,1000,0.19,FALSE
974,1000,0.2,FALSE
975,800,0.17,FALSE
976,1000,0.24,FALSE
977,700,0.18,FALSE
978,900,0.18,FALSE
979,900,0.5,FALSE
980,1300,0.34,FALSE
981,700,0.18,FALSE
982,800,0.18,FALSE
983,1000,0.23,FALSE
984,1000,0.18,FALSE
985,1000,0.26,FALSE
986,900,0.68,FALSE
987,900,0.48,FALSE
988,1000,0.66,FALSE
989,1300,0.24,FALSE
990,1300,0.34,FALSE
991,1000,0.18,FALSE
992,1300,0.23,FALSE
993,1200,0.22,FALSE
994,600,0.17,FALSE
995,900,0.68,FALSE
996,900,0.41,FALSE
997,700,0.18,FALSE
998,700,0.17,FALSE
999,1000,0.2,FALSE
1000,400,0.67,FALSE
1001,600,0.17,FALSE
1002,600,0.17,FALSE
1003,1300,0.55,TRUE
1004,1000,0.2,FALSE
1005,900,0.54,FALSE
1006,900,0.73,FALSE
1007,700,0.18,FALSE
1008,700,0.19,FALSE
1009,1000,0.23,FALSE
1010,1000,0.37,FALSE
1011,700,0.17,FALSE
1012,700,0.19,FALSE
1013,900,0.19,FALSE
1014,700,0.64,FALSE
1015,700,0.18,FALSE
1016,1000,0.19,FALSE
1017,1000,0.23,FALSE
1018,900,0.5,FALSE
1019,900,0.42,FALSE
1020,1000,0.21,FALSE
1021,700,0.17,FALSE
1022,700,0.17,FALSE
1023,1000,0.22,FALSE
1024,700,0.17,FALSE
1025,400,0.78,FALSE
1026,1300,0.45,FALSE
1027,700,0.2,FALSE
1028,600,0.17,FALSE
1029,1000,0.19,FALSE
1030,1300,0.55,FALSE
1031,1000,0.2,FALSE
